id,grad_year,"degree","exp_level","career_field"
49,1988,"High School Diploma","Trades","Experienced (Non-Managerial)"
50,2011,"High School Diploma","0","0"
51,1988,"HS Diploma","Sales","Experienced (Non-Managerial)"
52,2010,"High School Diploma","Business","Entry Level"
53,1994,"High School Diploma","Trades","Experienced (Non-Managerial)"
54,4,"High School Diploma","Trades","Experienced (Non-Managerial)"
55,2007,"High School Diploma","Administrative Support","Entry Level"
56,2005,"Associate of Science","Customer Service","Entry Level"
57,2010,"High School Diploma","Marketing, Advertising and PR","Student"
58,1991,"","Banking and Financial Services","Experienced (Non-Managerial)"
59,0,"","Administrative Support","Entry Level"
60,2004,"Advanced Modern Apprenticeship","Engineering","Experienced (Non-Managerial)"
61,0,"","Art, Fashion and Design","Student"
62,2007,"MBA","Banking and Financial Services","Experienced (Non-Managerial)"
63,2013,"High School Diploma","Veterinary","Student"
64,1990,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
65,0,"","0","0"
66,2012,"Practical Nursing Diploma","Nursing","Student"
67,1997,"M.A","Community and Public Service","Manager"
68,0,"High School Diploma","Nursing","Entry Level"
69,2010,"","Healthcare","Student"
70,0,"MBA","Marketing, Advertising and PR","Manager"
71,1996,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
72,2006,"Teaching of English as a Foreign Language","Education and Training","Experienced (Non-Managerial)"
73,0,"","Transportation and Distribution","Experienced (Non-Managerial)"
74,0,"","Marketing, Advertising and PR","Experienced (Non-Managerial)"
75,0,"","Marketing, Advertising and PR","Experienced (Non-Managerial)"
76,2005,"Bachelor of Science","Nursing","Student"
77,0,"0","0","Experienced (Non-Managerial)"
78,0,"Bachelor of Arts","Marketing, Advertising and PR","Entry Level"
79,8,"High School Diploma","Customer Service","Manager"
80,0,"","Retail","Manager"
81,0,"Associate of Science","Food and Beverage","Experienced (Non-Managerial)"
82,0,"Bachelor of Arts","Beauty and Spa","Experienced (Non-Managerial)"
83,2015,"Associate of Science","Food and Beverage","Experienced (Non-Managerial)"
84,2010,"Associate of Applied Science","Marketing, Advertising and PR","Entry Level"
85,2012,"M.D.","Healthcare","Entry Level"
86,1999,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
87,2011,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
88,2005,"High School Diploma","0","Experienced (Non-Managerial)"
89,1984,"High School Diploma","Food and Beverage","Manager"
90,2006,"Bachelor's degree","Engineering","Experienced (Non-Managerial)"
91,2003,"High School Diploma","Childcare","Experienced (Non-Managerial)"
92,0,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
93,2007,"High School Diploma","Customer Service","Entry Level"
94,88,"GED","Administrative Support","Experienced (Non-Managerial)"
95,1991,"","Administrative Support","Experienced (Non-Managerial)"
96,2005,"Master of Arts","Business","Experienced (Non-Managerial)"
97,0,"","Construction","Experienced (Non-Managerial)"
98,2000,"GED","Law Enforcement and Security","Experienced (Non-Managerial)"
99,1993,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
100,1989,"Associate of Science","Manufacturing and Production","Experienced (Non-Managerial)"
101,1983,"Associate of Science","Trades","Manager"
102,2002,"MBA","Customer Service","Experienced (Non-Managerial)"
103,1986,"RN- diploma","Nursing","Experienced (Non-Managerial)"
104,0,"GCSE","0","0"
105,2011,"High School Diploma","Retail","Experienced (Non-Managerial)"
106,2011,"Graduate","Fitness and Recreation","Experienced (Non-Managerial)"
107,2011,"High School Diploma","Management","Manager"
108,2005,"High School Diploma","Customer Service","Entry Level"
109,2010,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
110,2000,"AutoCAD","0","0"
111,2012,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
112,1977,"High School Diploma","Customer Service","Manager"
113,1994,"Ph.D.","Science","Experienced (Non-Managerial)"
114,0,"0","0","Experienced (Non-Managerial)"
115,2007,"","Trades","Experienced (Non-Managerial)"
116,2013,"Associate of Science","Childcare","Experienced (Non-Managerial)"
117,1981,"High School Diploma","Sales","Experienced (Non-Managerial)"
118,2013,"INSPECTORS CERTIFICATE","Construction","Entry Level"
119,2011,"Master of Science","Psychology","Manager"
120,2013,"High School Diploma","Food and Beverage","Entry Level"
121,2004,"BA (Honours) Degree, Distinction","Art, Fashion and Design","Experienced (Non-Managerial)"
122,2002,"High School Diploma","Beauty and Spa","Experienced (Non-Managerial)"
123,2004,"High School Diploma","Transportation and Distribution","Entry Level"
124,1996,"Associate of Arts","0","0"
125,0,"0","Transportation and Distribution","Entry Level"
126,0,"","Sales","Experienced (Non-Managerial)"
127,2000,"Associate of Arts","Beauty and Spa","Manager"
128,0,"0","Installation and Maintenance","Manager"
129,0,"0","0","Entry Level"
130,2007,"Bachelor of Arts","Banking and Financial Services","Manager"
131,0,"BS","Customer Service","Manager"
132,2011,"Bachelor of Arts","Art, Fashion and Design","Student"
133,2006,"High School Diploma","Trades","0"
134,92,"GED","Administrative Support","Entry Level"
135,1997,"Bachelor of Science","Manufacturing and Production","Manager"
136,2005,"Medical Billing","Administrative Support","Experienced (Non-Managerial)"
137,1993,"Associate of Science","Sales","Experienced (Non-Managerial)"
138,2013,"Associate of Science","0","Entry Level"
139,0,"","Administrative Support","Experienced (Non-Managerial)"
140,1995,"GED","Dental","Experienced (Non-Managerial)"
141,1984,"Certificate","Trades","Entry Level"
142,1984,"High School Diploma","Sales","Manager"
143,1988,"High School Diploma","Retail","Entry Level"
144,0,"","Food and Beverage","Manager"
145,2014,"","Sports","Student"
146,2011,"Bachelor of Science","Healthcare","Student"
147,2007,"High School Diploma","Marketing, Advertising and PR","Manager"
148,1995,"High School Diploma","Trades","Experienced (Non-Managerial)"
149,1994,"BBA","Government","Experienced (Non-Managerial)"
150,2003,"Certification/Diploma","Healthcare","Experienced (Non-Managerial)"
151,2001,"High School Diploma","Customer Service","Manager"
152,2003,"GED","Trades","Experienced (Non-Managerial)"
153,2013,"","Healthcare","Student"
154,0,"Associate of Science","Retail","Manager"
155,2006,"Master in Economics","Accounting and Finance","Manager"
156,2011,"","Business","Student"
157,0,"","Sales","Experienced (Non-Managerial)"
158,1991,"","Transportation and Distribution","Student"
159,2010,"Bachelor of Science","Natural Resources and Agriculture","Manager"
160,1992,"Nursing Assistant certificate","Healthcare","Experienced (Non-Managerial)"
161,1984,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
162,2014,"Bachelor of Science","Nursing","Student"
163,1975,"c.s.e","Manufacturing and Production","Experienced (Non-Managerial)"
164,2002,"GCSE","Trades","Experienced (Non-Managerial)"
165,0,"","Humanities and Liberal Arts","Entry Level"
166,0,"High School Diploma","Food and Beverage","Manager"
167,2006,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
168,0,"","Community and Public Service","Experienced (Non-Managerial)"
169,2014,"Technical Award Level 3","Real Estate","Manager"
170,2009,"Bachelor of Science","Government","Entry Level"
171,2006,"","0","Experienced (Non-Managerial)"
172,1980,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
173,0,"","Law Enforcement and Security","Student"
174,2013,"BBA","Human Resources","Experienced (Non-Managerial)"
175,1990,"High School Diploma","Installation and Maintenance","Manager"
176,0,"0","Education and Training","Experienced (Non-Managerial)"
177,2013,"High School Diploma","Trades","Experienced (Non-Managerial)"
178,0,"0","Nursing","Experienced (Non-Managerial)"
179,2007,"High School Diploma","Retail","Entry Level"
180,2012,"High School Diploma","Retail","Manager"
181,2011,"GED","Retail","Experienced (Non-Managerial)"
182,2011,"High School Diploma","Customer Service","Manager"
183,1988,"Associate of Science","0","Manager"
184,0,"Associate of Applied Science","Installation and Maintenance","Manager"
185,0,"0","0","Student"
186,0,"0","Healthcare","Entry Level"
187,2006,"Associate of Science","Nursing","Manager"
188,2012,"","Military","Entry Level"
189,0,"0","0","Experienced (Non-Managerial)"
190,2014,"M. A","Education and Training","Experienced (Non-Managerial)"
191,2005,"High School Diploma","Trades","Entry Level"
192,2000,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
193,0,"0","Manufacturing and Production","Experienced (Non-Managerial)"
194,0,"1 1/2 years","Childcare","Experienced (Non-Managerial)"
195,1998,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
196,5,"Bachelor's degree","Art, Fashion and Design","Manager"
197,2012,"Associate RN","Nursing","Student"
198,2010,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
199,1975,"Select One","Community and Public Service","Experienced (Non-Managerial)"
200,1992,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
201,0,"High School Diploma","Banking and Financial Services","Entry Level"
202,0,"Masters","Human Resources","Manager"
203,0,"","0","0"
204,2012,"Completion","Government","Entry Level"
205,0,"High School Diploma","0","Experienced (Non-Managerial)"
206,2004,"GCSE and A-Level","Real Estate","Manager"
207,1973,"Bachelor of Science","Management","Manager"
208,0,"Bachelor of Science","Banking and Financial Services","Manager"
209,1995,"Bachelor of Science","0","0"
210,0,"Associates Degree","Accounting and Finance","Experienced (Non-Managerial)"
211,1986,"","Customer Service","Manager"
212,2013,"","0","0"
213,2007,"GCSE","Retail","Manager"
214,1977,"High School Diploma","0","0"
215,1984,"Accredited Advisor in Insurance Designation","Insurance","Manager"
216,0,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
217,2002,"Expanded Duties Certification","Dental","Experienced (Non-Managerial)"
218,2008,"Ph.D.","Sports","Student"
219,1986,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
220,0,"High School Diploma","Customer Service","Entry Level"
221,1995,"High School Diploma","Manufacturing and Production","Entry Level"
222,2005,"Added Credits","Food and Beverage","Experienced (Non-Managerial)"
223,1995,"High School Diploma","Engineering","Experienced (Non-Managerial)"
224,0,"","Retail","Manager"
225,1999,"Associate of Science","Nursing","Experienced (Non-Managerial)"
226,0,"Bachelor of Arts","Textile and Apparel","Student"
227,2,"Associate of Science","Customer Service","Experienced (Non-Managerial)"
228,0,"0","0","Student"
229,2013,"GCSE","Retail","Student"
230,1966,"High School Diploma","Sales","Manager"
231,2002,"Completion of studies","Food and Beverage","Manager"
232,0,"Bachelor's of Arts","Healthcare","Experienced (Non-Managerial)"
233,0,"0","0","Manager"
234,0,"0","Retail","Experienced (Non-Managerial)"
235,2007,"High School Diploma","0","0"
236,1999,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
237,1988,"Bachelor of Arts","0","0"
238,2005,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
239,0,"Certificate","Nursing","0"
240,0,"0","Administrative Support","Experienced (Non-Managerial)"
241,1974,"GED","Manufacturing and Production","Manager"
242,0,"Select One","Healthcare","Experienced (Non-Managerial)"
243,2011,"High School Diploma","Sales","Student"
244,1995,"deploma","Trades","Manager"
245,1989,"Extra Mural     Kingston JA     Small Business Management -Incomplete.","Food and Beverage","Manager"
246,1999,"Bachelor of Arts","Computers and Technology","Manager"
247,0,"Bachelor of Science","Management","Manager"
248,0,"","Law Enforcement and Security","Experienced (Non-Managerial)"
249,0,"","Administrative Support","Experienced (Non-Managerial)"
250,2010,"N/A","Retail","Experienced (Non-Managerial)"
251,0,"Licensed","Banking and Financial Services","Experienced (Non-Managerial)"
252,2012,"Associate of Arts","0","0"
253,0,"","Management","Manager"
254,2013,"Diploma/ GVN status","Healthcare","Experienced (Non-Managerial)"
255,2014,"Associate of Arts","Healthcare","Entry Level"
256,0,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
257,1977,"High School Diploma","Administrative Support","Manager"
258,2007,"High School Diploma","Customer Service","Student"
259,2012,"Bachelor of Science","Social Sciences","Experienced (Non-Managerial)"
260,2007,"GCSE","Business","Entry Level"
261,0,"Juris Doctor","Legal","Experienced (Non-Managerial)"
262,2011,"High School Diploma","Sales","Student"
263,1975,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
264,0,"0","Education and Training","Entry Level"
265,2012,"High School Diploma","Construction","Student"
266,2013,"Bachelor of Science","Accounting and Finance","Entry Level"
267,2010,"Certifate ","Customer Service","Entry Level"
268,2012,"","0","0"
269,0,"Associate of Science","Customer Service","Experienced (Non-Managerial)"
270,2012,"High School Diploma","0","Experienced (Non-Managerial)"
271,0,"Associate of Science","Military","Entry Level"
272,1997,"GED","Beauty and Spa","Experienced (Non-Managerial)"
273,2011,"High School Diploma","Accounting and Finance","Student"
274,2006,"COA","Healthcare","Experienced (Non-Managerial)"
275,0,"0","Community and Public Service","Experienced (Non-Managerial)"
276,0,"Bachelor of Science","Government","Experienced (Non-Managerial)"
277,2005,"Diploma","Customer Service","Experienced (Non-Managerial)"
278,1996,"Certificate","Nursing","Experienced (Non-Managerial)"
279,0,"0","Accounting and Finance","Experienced (Non-Managerial)"
280,0,"","Management","Manager"
281,2011,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
282,0,"Bachelor of Science","Sales","Experienced (Non-Managerial)"
283,0,"Associate of Applied Science","Transportation and Distribution","Manager"
284,2008,"High School Diploma","Trades","Entry Level"
285,1990,"","Healthcare","Experienced (Non-Managerial)"
286,1968,"High School Diploma","Accounting and Finance","Experienced (Non-Managerial)"
287,2003,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
288,2011,"High School Diploma","Engineering","Experienced (Non-Managerial)"
289,1995,"High School Diploma","Management","Experienced (Non-Managerial)"
290,0,"Associate of Science","Community and Public Service","Experienced (Non-Managerial)"
291,0,"0","0","Entry Level"
292,2008,"High School","Computers and Technology","Entry Level"
293,1984,"High School Diploma","Education and Training","Manager"
294,2010,"Bachelor of Enginnering","Engineering","Experienced (Non-Managerial)"
295,0,"0","Trades","Experienced (Non-Managerial)"
296,1990,"Master of Arts","Education and Training","Experienced (Non-Managerial)"
297,2014,"Bachelor of Arts","0","0"
298,0,"0","0","Experienced (Non-Managerial)"
299,2008,"Strimmer and brushcutter training","Real Estate","Experienced (Non-Managerial)"
300,1989,"High School Diploma","Military","Manager"
301,2,"","Engineering","Experienced (Non-Managerial)"
302,2012,"Bachelor of Arts","Education and Training","Experienced (Non-Managerial)"
303,0,"","Food and Beverage","Manager"
304,0,"","Nursing","Experienced (Non-Managerial)"
305,2014,"Bachelor of Science","Community and Public Service","Manager"
306,0,"0","0","0"
307,2012,"High School Diploma","Food and Beverage","Manager"
308,2002,"High School Diploma","Retail","Manager"
309,2015,"Bachelor of Education","0","0"
310,2013,"Bachelor of Science","Computers and Technology","Entry Level"
311,2013,"","Construction","Student"
312,2008,"Red Seal in transport technician ","Trades","Experienced (Non-Managerial)"
313,2013,"","0","0"
314,0,"0","Customer Service","Experienced (Non-Managerial)"
315,11,"High School Diploma","0","Entry Level"
316,2011,"M.Ed.","Education and Training","Experienced (Non-Managerial)"
317,2006,"","Administrative Support","Experienced (Non-Managerial)"
318,2013,"Bachelor of Arts","Legal","Student"
319,12,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
320,2012,"High School Diploma","Business","Student"
321,1993,"Associate of Arts","Sales","Executive"
322,1980,"Associate","Administrative Support","Experienced (Non-Managerial)"
323,2014,"40 College Credits","Accounting and Finance","Entry Level"
324,0,"0","Nursing","Experienced (Non-Managerial)"
325,0,"0","Administrative Support","Experienced (Non-Managerial)"
326,2005,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
327,1982,"Various CSEs and Typing qualifications","Administrative Support","Experienced (Non-Managerial)"
328,2011,"Associate of Arts","Business","Manager"
329,0,"0","0","Experienced (Non-Managerial)"
330,2010,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
331,2007,"High School Diploma","Marketing, Advertising and PR","Student"
332,2006,"","Food and Beverage","Experienced (Non-Managerial)"
333,0,"High School Diploma","Military","Manager"
334,2012,"Bachelor of Science","Business","Entry Level"
335,0,"","Human Resources","Experienced (Non-Managerial)"
336,2015,"Bachelor of Arts","Sales","Student"
337,1998,"GCSE","Childcare","Entry Level"
338,2001,"GED","0","0"
339,2003,"GED","Banking and Financial Services","Experienced (Non-Managerial)"
340,0,"National Diploma in Commerce","Accounting and Finance","Manager"
341,2010,"High School Diploma","Education and Training","Student"
342,2004,"","0","0"
343,0,"High School Diploma","Food and Beverage","Manager"
344,2015,"High School Diploma","0","Student"
345,0,"Certificate","Retail","Experienced (Non-Managerial)"
346,1995,"Journeyman Electrician","Construction","Experienced (Non-Managerial)"
347,0,"0","0","Experienced (Non-Managerial)"
348,0,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
349,2007,"BSc","0","0"
350,1978,"","Sales","Experienced (Non-Managerial)"
351,2003,"certificate","Dental","Manager"
352,1989,"High School Diploma","Beauty and Spa","Manager"
353,2012,"0","Food and Beverage","Experienced (Non-Managerial)"
354,0,"Ph.D.","Humanities and Liberal Arts","Student"
355,0,"0","Administrative Support","Experienced (Non-Managerial)"
356,0,"Bachelor of Arts","Psychology","Experienced (Non-Managerial)"
357,0,"Bachelor of Arts","Sales","Experienced (Non-Managerial)"
358,2007,"High School Diploma","Customer Service","Manager"
359,0,"","Sales","Executive"
360,2000,"General Academic Studies Degree","Manufacturing and Production","Experienced (Non-Managerial)"
361,1997,"Common Entrance","Business","Experienced (Non-Managerial)"
362,2014,"High School Diploma","0","Student"
363,2011,"Associate of Science","Business","Entry Level"
364,0,"","Healthcare","Experienced (Non-Managerial)"
365,2007,"High School Diploma","Food and Beverage","Entry Level"
366,2006,"high school diploma","Community and Public Service","Student"
367,2013,"Certification in Phlebotomy","Healthcare","Experienced (Non-Managerial)"
368,0,"","Childcare","Student"
369,2009,"Bachelor of Arts","Food and Beverage","Experienced (Non-Managerial)"
370,2000,"GED","Customer Service","Experienced (Non-Managerial)"
371,0,"Certificate","Administrative Support","Experienced (Non-Managerial)"
372,2006,"AA","Administrative Support","Entry Level"
373,0,"0","0","Experienced (Non-Managerial)"
374,2013,"Associate of Arts","Entertainment and Media","Entry Level"
375,0,"BSc","Administrative Support","Entry Level"
376,10,"High School Diploma","Law Enforcement and Security","Manager"
377,2011,"Certified Medical Assistant ","Nursing","Student"
378,0,"Bachelor of Science","Pharmacy","Manager"
379,0,"Bachelor's degree","Accounting and Finance","Student"
380,2000,"Bachelor of Arts","Legal","Experienced (Non-Managerial)"
381,1987,"","Healthcare","Manager"
382,2006,"Master of Science","Education and Training","Experienced (Non-Managerial)"
383,1982,"Associate of Science","Construction","Experienced (Non-Managerial)"
384,2007,"Associate of Arts","Education and Training","Experienced (Non-Managerial)"
385,2000,"High School Diploma","Retail","Manager"
386,2003,"High School Diploma","Government","Experienced (Non-Managerial)"
387,2006,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
388,0,"Bachelor of Science","Sales","Experienced (Non-Managerial)"
389,1988,"Bachelor of Science","Sales","Experienced (Non-Managerial)"
390,2012,"SRNA Certificate ","Nursing","Entry Level"
391,1984,"Bachelor of Arts","Management","Executive"
392,2012,"","Healthcare","Experienced (Non-Managerial)"
393,0,"","Engineering","Experienced (Non-Managerial)"
394,0,"Certificates in Windows, Excel, Supervision, Blueprint Reading, and Electronics","Management","Experienced (Non-Managerial)"
395,1978,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
396,0,"","Customer Service","Entry Level"
397,0,"0","0","Experienced (Non-Managerial)"
398,1980,"College Courses","Law Enforcement and Security","Experienced (Non-Managerial)"
399,2005,"Nursing degree","Sales","Entry Level"
400,2013,"High School Diploma","Marketing, Advertising and PR","Student"
401,1979,"High School Diploma","Retail","Manager"
402,1981,"Associate of Science","Nursing","Experienced (Non-Managerial)"
403,2008,"MBA","0","0"
404,2004,"Certificate","Nursing","Experienced (Non-Managerial)"
405,0,"0","0","Student"
406,2014,"","Pharmacy","Student"
407,2011,"Associate of Arts","Nursing","Entry Level"
408,0,"1 Year","Sales","Experienced (Non-Managerial)"
409,1971,"Bachelor of Arts","Management","Experienced (Non-Managerial)"
410,0,"0","0","0"
411,2011,"High School Diploma","Retail","Student"
412,0,"High School Diploma","Marketing, Advertising and PR","Manager"
413,2000,"High School Diploma","Food and Beverage","Manager"
414,1975,"","Personal Services","Experienced (Non-Managerial)"
415,1996,"Bachelor of Science","Insurance","Experienced (Non-Managerial)"
416,2012,"GED","Healthcare","Entry Level"
417,2005,"GED","Trades","Experienced (Non-Managerial)"
418,0,"","Human Resources","Manager"
419,12,"High School Diploma","Trades","Experienced (Non-Managerial)"
420,0,"","Computers and Technology","Manager"
421,2012,"Standard Shipboard Training","Art, Fashion and Design","Entry Level"
422,0,"","Management","Experienced (Non-Managerial)"
423,2000,"GCSE","Trades","Experienced (Non-Managerial)"
424,2013,"Associate of Science","0","0"
425,2003,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
426,2002,"High School Diploma","Management","Entry Level"
427,2015,"Bachelor of Arts","Administrative Support","Entry Level"
428,2014,"BTEC (A Levels)","0","Student"
429,2013,"Bachelor of Arts","Accounting and Finance","Entry Level"
430,2006,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
431,1973,"","Sales","Manager"
432,0,"0","0","Experienced (Non-Managerial)"
433,2008,"High School Diploma","Healthcare","Student"
434,0,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
435,2002,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
436,2016,"","Fitness and Recreation","Entry Level"
437,2010,"Bachelor of Science","Customer Service","Experienced (Non-Managerial)"
438,0,"0","Administrative Support","Experienced (Non-Managerial)"
439,0,"0","Sales","Experienced (Non-Managerial)"
440,2016,"Associate of Arts","Human Resources","Entry Level"
441,2004,"High School Diploma","Healthcare","Entry Level"
442,2013,"High School Diploma","Human Resources","Student"
443,2001,"Associate of Science","Nursing","Experienced (Non-Managerial)"
444,2008,"Diploma RN","Nursing","Experienced (Non-Managerial)"
445,0,"Bachelor of Science","Healthcare","Manager"
446,0,"0","Healthcare","Experienced (Non-Managerial)"
447,2000,"Certificate","Management","Manager"
448,2007,"GCSE","Retail","Experienced (Non-Managerial)"
449,0,"0","0","Experienced (Non-Managerial)"
450,2013,"Certificate of Completion","Healthcare","Entry Level"
451,0,"0","Government","0"
452,0,"General Academic Studies Degree","Accounting and Finance","Manager"
453,0,"High School Diploma","0","Student"
454,12,"High School Diploma","Nursing","Experienced (Non-Managerial)"
455,0,"0","Nursing","Student"
456,2008,"High School Diploma","Food and Beverage","Entry Level"
457,1993,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
458,2007,"Red Seal","Construction","0"
459,0,"0","Green Jobs","Entry Level"
460,1995,"High School Diploma","Food and Beverage","Executive"
461,2014,"MBA","Sports","Student"
462,0,"0","0","Entry Level"
463,0,"Associate of Occupational Degree","Food and Beverage","Experienced (Non-Managerial)"
464,2016,"","Business","Student"
465,1989,"High School Diploma","Construction","Experienced (Non-Managerial)"
466,2012,"Medical Assistant Cerfication","Healthcare","Entry Level"
467,0,"0","Construction","Experienced (Non-Managerial)"
468,0,"0","Sales","Manager"
469,1995,"Real Estate License","Sales","Manager"
470,2015,"High School Diploma","Sales","Student"
471,2013,"Associate of Applied Science","Nursing","Student"
472,0,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
473,2011,"High School Diploma","Sales","Experienced (Non-Managerial)"
474,0,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
475,2009,"BA","Natural Resources and Agriculture","Experienced (Non-Managerial)"
476,1998,"BBA","Administrative Support","Entry Level"
477,2013,"","0","Student"
478,0,"0","0","Experienced (Non-Managerial)"
479,96,"High School Diploma","Manufacturing and Production","Entry Level"
480,1996,"Bachelor of Science","Fitness and Recreation","Executive"
481,2014,"Associate of Arts","Childcare","Student"
482,1994,"Bachelor of Science","Construction","Executive"
483,1991,"Associate of Applied Science","Sales","Experienced (Non-Managerial)"
484,2014,"BBA","Accounting and Finance","Student"
485,1999,"Associate of Applied Science","Retail","Experienced (Non-Managerial)"
486,1992,"","Marketing, Advertising and PR","Executive"
487,0,"","Pharmacy","Experienced (Non-Managerial)"
488,2005,"Bachelor of Science","Food and Beverage","Experienced (Non-Managerial)"
489,1982,"Grade 12","Manufacturing and Production","Entry Level"
490,1991,"High School Diploma","Retail","Entry Level"
491,0,"","Trades","Entry Level"
492,2013,"Associate of Science","Military","Experienced (Non-Managerial)"
493,2012,"CDL Certification","Transportation and Distribution","Experienced (Non-Managerial)"
494,2009,"","Retail","Student"
495,2010,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
496,0,"0","Customer Service","Manager"
497,1992,"GED","Dental","Experienced (Non-Managerial)"
498,2010,"Bachelor of Science","Business","Experienced (Non-Managerial)"
499,2008,"High School Diploma","0","Student"
500,0,"","Retail","Entry Level"
501,2013,"Associate of Science","Community and Public Service","Student"
502,2016,"High School Diploma","Healthcare","Student"
503,0,"","Food and Beverage","Experienced (Non-Managerial)"
504,0,"","Customer Service","Entry Level"
505,2014,"Certification","Transportation and Distribution","Experienced (Non-Managerial)"
506,2008,"High School Diploma","Art, Fashion and Design","Student"
507,2006,"Bachelor of Science","0","0"
508,0,"0","Computers and Technology","Experienced (Non-Managerial)"
509,2013,"High School Diploma","Personal Services","Entry Level"
510,2005,"License","Food and Beverage","Experienced (Non-Managerial)"
511,2015,"Associate of Science","Administrative Support","Student"
512,2012,"High School Diploma","Sales","Entry Level"
513,1990,"High School Diploma","Business","Executive"
514,0,"","Sales","Executive"
